FileName,SubType,Anaphoric,Citation,CitationType,CoReference
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"State v. Stoddard, 126 Conn. 623, 627-28, 13 A.2d 586 (1940).""In delegating authority to an administrative board, the legislature cannot know or foresee all the possibilities that might arise. The test for constitutionally sufficient standards to govern the exercise of delegated powers requires only that the standards be as definite as is reasonably practicable under the circumstances.In delegating authority to an administrative board [however] the legislature cannot know or foresee all the possibilities that might arise."" (Internal quotation marks omitted.) Wilson Point Property Owners Asso. v. Connecticut Light &amp; Power Co., 145 Conn. 243, 267, 140 A.2d 874 (1958)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"State v. Campbell, 224 Conn. 168, 180, 617 A.2d 889 (1992)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"State v. Ramos, 261 Conn. 156, 171, 801 A.2d 788 (2002)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Taylor v. Mucci, 288 Conn. 379, 383 n.4, 952 A.2d 776 (2008)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Doe v. Dept. of Public Safety, 271 F.3d 38, 61 (2d Cir. 2001)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Gonzalez v. Surgeon, 284 Conn. 573, 583-84, 937 A.2d 24 (2007)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Thalheim v. Greenwich, 256 Conn. 628, 641, 775 A.2d 947",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Gonzalez v. Surgeon, supra, 284 Conn. 584. Therefore, ""[c]ivil statutes . . . may survive a vagueness challenge by a lesser degree of specificity than in criminal statutes."" State Management Assn. of Connecticut, Inc. v. O'Neill, 204 Conn. 746, 757, 529 A.2d 1276 (1987)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"In re Stephen M., 109 Conn. App. 644, 651, 953 A.2d 668 and n.11, 109 Conn. App. 644, 953 A.2d 668 (2008)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"In re T.K., 105 Conn. App. 502, 513, 939 A.2d 9 (""[t]he The doctrine of predictive neglect is grounded in the state's responsibility to avoid harm to the well-being of a child, not to repair it after a tragedy has occurred. Connecticut statutes clearly permit an adjudication of neglect based on a potential for harm or abuse to occur in the future.doctrine of predictive neglect is grounded in the state's responsibility to avoid harm to the well-being of a child, not to repair it after a tragedy has occurred""), cert. denied, 286 Conn. 914, 945 A.2d 976 (2008)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"In re Michael D., 58 Conn. App. 119, 123, 752 A.2d 1135 (""[o]ur statutes clearly permit an adjudication of neglect based on a potential for harm or abuse to occur in the future""), cert. denied, 254 Conn. 911, 759 A.2d 505 (2000).We conclude that the statutory provisions discussed in part III A of this opinion, the manual and case law provide sufficient specificity to give fair notice and to preclude arbitrary enforcement. To require the defendant to delineate every act that would lead to placement of a person's name on the registry would be impracticable when the issue is a prediction of risk. See State v. Anonymous, 179 Conn. 155, 165, 425 A.2d 939 (1979)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Piscottano v. Murphy, 511 F.3d 247, 280 (2d Cir. 2007)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"State v. DeLoreto, 265 Conn. 145, 166, 827 A.2d 671 (2003)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,T,"Id., 41",S,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Taylor v. Mucci, 288 Conn. 379, 383 n.4, 952 A.2d 776",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"United States v. Lovett, 328 U.S. 303, 315, 66 S. Ct. 1073, 90 L. Ed. 1252, 106 Ct. Cl. 856 (1946)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Morris v. Congdon, 277 Conn. 565, 578, 893 A.2d 413 (2006)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"United States v. Brown, 381 U.S. 437, 442, 85 S. Ct. 1707, 14 L. Ed. 2d 484 (1965)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Nixon v. Administrator of [General Services], 433 U.S. 425, 475, 97 S. Ct. 2777, 2806, 53 L. Ed. 2d 867 (1977)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"McMullen v. United States, 510 U.S. 913, 114 S. Ct. 301, 126 L. Ed. 2d 249 (1993).The registry scheme does not meet any of these tests for legislative punishment. The scheme does not ban persons listed on the registry from employment in any field, and therefore cannot be deemed to constitute historical punishment. We note that several courts have interpreted the United States Supreme Court cases on employment bans more contextually and have concluded that an express ban on employment in a specified profession would not necessarily make a law a bill of attainder when the ban seeks to achieve a legitimate end and a nonpunitive purpose. See, e.g., BellSouth Corp. v. Federal Communications Commission, 333 U.S. App. D.C. 253, 162 F.3d 678, 688 (D.C. Cir. 1998)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Dehainaut v. Pena, 32 F.3d 1066, 1071-72 (7th Cir. 1994)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Zwick v. Freeman, 373 F.2d 110, 119-20 (2d Cir.)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"United States v. Brown, supra, 381 U.S. 458-61",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"United States v. Lovett, supra, 328 U.S. 316-18",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Cummings v. Missouri, 71 U.S. (4 Wall.) 277, 332, 18 L. Ed. 356 (1867)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"De Veau v. Braisted, 363 U.S. 144, 160, 80 S. Ct. 1146, 4 L. Ed. 2d 1109 (1960)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Hawker v. New York, 170 U.S. 189, 18 S. Ct. 573, 42 L. Ed. 1002 (1898)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"Smith v. Doe, 538 U.S. 84, 103, 123 S. Ct. 1140, 155 L. Ed. 2d 164 (2003)",L,NA
sample_input.xml.xml,JUDICIALCOURTDECISION,F,"State v. Arthur H., 288 Conn. 582, 590, 953 A.2d 630 (2008)",L,NA
